metric,all_clients_disjoint_bidirectional,fedavg_same_setting_common_1_8,winner,all_clients_relative_improvement_percent
loss,0.000876596557326725,0.0009171734938959874,all_clients_disjoint_bidirectional,4.424128786899295
MAE,0.9197104200720787,0.9461664706468582,all_clients_disjoint_bidirectional,2.7961306382683917
RMSE,1.2323234135550596,1.262617107366847,all_clients_disjoint_bidirectional,2.3992779469750842
MAPE_percent,11.033898685127497,11.391281802207232,all_clients_disjoint_bidirectional,3.1373389165957293
R2,0.8990124315023422,0.893837496638298,all_clients_disjoint_bidirectional,0.5789570121534393
